address,ens_name,follow_count,follow_count_space,follow_count_non_space,total_votes,total_proposal_interaction,total_proposal_interaction_in_space,total_proposal_interaction_non_space,total_nft,rewards_nft
0x78EbA07D1A3F49a697940266B27928c6696e2b4a,songhao.eth,20,0,20,65294.03761,232,90,142,32,3
0x13d411C6BEddBa45FDaF25E8fCC6824BFb373185,NULL,20,0,20,61583.41701,232,89,143,31,3
0x8330A84D3C16A55302f921C36979B1067418053a,catch-22.eth,20,1,19,95717.8633,231,25,206,50,1
0xe3557E84Bd0247C09EC369D3c904E9DaB87d60a7,kafeier.eth,19,1,18,77932.55292,231,78,153,50,1
0xF057F269731f1E10f4cbEc0D5AA22A39c9F9F12E,口拍口拍口拍.eth,20,0,20,61721.36833,231,90,141,32,3
0x994697b0D70B02dE00f18c2de604C1CDF183B1c5,cryptoply-2023.eth,15,1,14,126059.5935,230,75,155,50,0
0x427BC604caA3b82B9101b2fe687eD0c143A53f20,arsenal-fc.eth,20,0,20,76878.75012,230,89,141,50,2
0x6362Ccb1aA4467280f84509eb4Cd878ff1fb0a5d,atan1430.eth,20,1,19,48696.50844,229,74,155,50,0
0x1CC3d66A2DA4Ff929002875E381d2Aa232b7Ec03,tissco.eth,18,1,17,99862.99333,227,77,150,50,1
0x543F7CcF5166Ba9C8AfB5e768ACcF9F401155370,ibabak.eth,16,1,15,41384.24905,227,33,194,50,0
0x3E2D76633e9Eed1e468d56d361A158C843Da8820,internetmoney.eth,11,1,10,226741.636,226,82,144,38,3
0xAbe2f901cec5eb03B8ca6357F068b0BdE6ba004b,nuttela.eth,11,1,10,43398.68766,226,72,154,50,0
0xA3d0750295d85E813eB8701D6F323FdEc651518c,apppay.eth,14,1,13,113999.8817,225,65,160,50,0
0x6F8D0c0A2b28dF39cf2A4727d3eCfb60E9Ddad27,popularbrand.eth,6,1,5,67643.41065,225,87,138,37,3
0xfff0ea0Ea835F5b29e61bDAFf90012Cfbf4F5986,890718.eth,20,0,20,65000.96789,225,90,135,33,3
0xdB7F7eB6776ea3848e50bB60Be6ff17b7e893ed3,NULL,20,1,19,32894.30245,225,12,213,50,0
0x8719A15457C5107417966873d2A4b16b8478B873,heixia.eth,20,0,20,30521.18527,224,75,149,50,0
0xd06C67FB53693384Ad5eB905B43A66cf548F5687,jylfc.eth,20,1,19,76838.02449,223,45,178,50,1
